"","order","suborder","greatgroup","series","top","bottom","units","family","subgroup","subgroup_code","class_string","topt","bottomt"
"180","Mollisols","Ustolls","Haplustolls","NOVINA","18","51","centimeters","Coarse-loamy, mixed, superactive, mesic Fluvaquentic Haplustolls","fluvaquentic haplustolls","IGGS","Coarse-loamy, mixed, superactive, mesic",18,51
"181","Mollisols","Ustolls","Haplustolls","NYSWONGER","10","19","inches","Fine-loamy, mixed, superactive, mesic Torrifluventic Haplustolls","torrifluventic haplustolls","IGGW","Fine-loamy, mixed, superactive, mesic",25.4,48.26
"182","Mollisols","Xerolls","Haploxerolls","OMAHALING","15","20","inches","Coarse-loamy, mixed, superactive, frigid Fluvaquentic Haploxerolls","fluvaquentic haploxerolls","IFFL","Coarse-loamy, mixed, superactive, frigid",38.1,50.8
"183","Mollisols","Aquolls","Endoaquolls","OSHAWA","10","24","inches","Fine-loamy, mixed, superactive, calcareous, mesic Fluvaquentic Endoaquolls","fluvaquentic endoaquolls","IBGJ","Fine-loamy, mixed, superactive, calcareous, mesic",25.4,60.96
"184","Mollisols","Cryolls","Haplocryolls","OSMUND","16","40","inches"," Fine-loamy, mixed, superactive Pachic Haplocryolls","pachic haplocryolls","IEFK","Fine-loamy, mixed, superactive",40.64,101.6
"185","Mollisols","Aquolls","Endoaquolls","OTTER","61","127","cm","Fine-silty, mixed, superactive, mesic Cumulic Endoaquolls","cumulic endoaquolls","IBGI","Fine-silty, mixed, superactive, mesic",61,127
"186","Mollisols","Cryolls","Haplocryolls","OUTLET","10","16","inches","Fine-loamy, mixed, superactive Aquic Haplocryolls","aquic haplocryolls","IEFH","Fine-loamy, mixed, superactive",25.4,40.64
"187","Mollisols","Xerolls","Haploxerolls","PAESL","7","12","inches","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, frigid Torrifluventic Haploxerolls","torrifluventic haploxerolls","IFFT","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, frigid",17.78,30.48
"188","Mollisols","Aquolls","Endoaquolls","PALAZZO","10","23","inches","Fine-loamy, mixed, superactive, thermic Fluvaquentic Endoaquolls","fluvaquentic endoaquolls","IBGJ","Fine-loamy, mixed, superactive, thermic",25.4,58.42
"189","Mollisols","Aquolls","Endoaquolls","PEOH","24","36","inches","Fine-loamy, mixed, superactive, mesic Cumulic Endoaquolls","cumulic endoaquolls","IBGI","Fine-loamy, mixed, superactive, mesic",60.96,91.44
"190","Mollisols","Aquolls","Endoaquolls","PERELLA","10","24","inches","Fine-silty, mixed, superactive, frigid Typic Endoaquolls","typic endoaquolls","IBGK","Fine-silty, mixed, superactive, frigid",25.4,60.96
"191","Mollisols","Ustolls","Haplustolls","PLITE","16","38","inches","Coarse-loamy, mixed, superactive, frigid Cumulic Haplustolls","cumulic haplustolls","IGGQ","Coarse-loamy, mixed, superactive, frigid",40.64,96.52
"192","Mollisols","Ustolls","Haplustolls","PONDEROSA","7","20","inches","Coarse-loamy, mixed, superactive, mesic Torriorthentic Haplustolls","torriorthentic haplustolls","IGGX","Coarse-loamy, mixed, superactive, mesic",17.78,50.8
"193","Mollisols","Aquolls","Endoaquolls","PORTAGEVILLE","10","20","inches","Fine, smectitic, calcareous, thermic Vertic Endoaquolls","vertic endoaquolls","IBGD","Fine, smectitic, calcareous, thermic",25.4,50.8
"194","Mollisols","Aquolls","Endoaquolls","POUDRE","24","50","inches","Coarse-loamy, mixed, superactive, calcareous, mesic Cumulic Endoaquolls","cumulic endoaquolls","IBGI","Coarse-loamy, mixed, superactive, calcareous, mesic",60.96,127
"195","Mollisols","Xerolls","Haploxerolls","POWEEN","20","50","inches","Coarse-loamy, mixed, superactive, mesic Cumulic Haploxerolls","cumulic haploxerolls","IFFK","Coarse-loamy, mixed, superactive, mesic",50.8,127
"196","Mollisols","Ustolls","Haplustolls","PRINGLE","12","19","inches","Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, frigid Fluvaquentic Haplustolls","fluvaquentic haplustolls","IGGS","Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, frigid",30.48,48.26
"197","Mollisols","Aquolls","Endoaquolls","PROVO","25","60","cm","Sandy-skeletal, mixed, mesic Fluvaquentic Endoaquolls","fluvaquentic endoaquolls","IBGJ","Sandy-skeletal, mixed, mesic",25,60
"198","Mollisols","Aquolls","Endoaquolls","QUAM","24","80","inches","Fine-silty, mixed, superactive, frigid Cumulic Endoaquolls","cumulic endoaquolls","IBGI","Fine-silty, mixed, superactive, frigid",60.96,203.2
"199","Mollisols","Ustolls","Haplustolls","QUARTERBACK","18","51","centimeters","Coarse-loamy, mixed, superactive, mesic Torrifluventic Haplustolls","torrifluventic haplustolls","IGGW","Coarse-loamy, mixed, superactive, mesic",18,51
"200","Mollisols","Aquolls","Endoaquolls","RALSEN","10","20","inches","Coarse-loamy, mixed, superactive, mesic Fluvaquentic Endoaquolls","fluvaquentic endoaquolls","IBGJ","Coarse-loamy, mixed, superactive, mesic",25.4,50.8
"201","Mollisols","Cryolls","Haplocryolls","RAZORBA","16","40","inches","Coarse-loamy, mixed, superactive Pachic Haplocryolls","pachic haplocryolls","IEFK","Coarse-loamy, mixed, superactive",40.64,101.6
"202","Mollisols","Rendolls","Cryrendolls","REDMANSON","7","19","inches","Loamy-skeletal, carbonatic Typic Cryrendolls","typic cryrendolls","ICAB","Loamy-skeletal, carbonatic",17.78,48.26
"203","Mollisols","Xerolls","Haploxerolls","REDOLA","20","35","inches","Coarse-loamy, mixed, superactive, mesic Cumulic Haploxerolls","cumulic haploxerolls","IFFK","Coarse-loamy, mixed, superactive, mesic",50.8,88.9
"204","Mollisols","Aquolls","Endoaquolls","REDROB","8","20","inches","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, calcareous, frigid Fluvaquentic Endoaquolls","fluvaquentic endoaquolls","IBGJ","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, calcareous, frigid",20.32,50.8
"205","Mollisols","Aquolls","Endoaquolls","REGAL","10","20","inches","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, calcareous, mesic Typic Endoaquolls","typic endoaquolls","IBGK","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, calcareous, mesic",25.4,50.8
"206","Mollisols","Xerolls","Haploxerolls","RET","20","36","inches","Coarse-loamy, isotic, frigid Cumulic Haploxerolls","cumulic haploxerolls","IFFK","Coarse-loamy, isotic, frigid",50.8,91.44
