"","order","suborder","greatgroup","series","top","bottom","units","family","subgroup","subgroup_code","class_string","topt","bottomt"
"507","Mollisols","Aquolls","Calciaquolls","WAKONDA","7","16","inches","Fine-silty, mixed, superactive, mesic Aeric Calciaquolls","aeric calciaquolls","IBDB","Fine-silty, mixed, superactive, mesic",17.78,40.64
"508","Mollisols","Xerolls","Argixerolls","WANNACOTT","7","14","inches","Fine-silty, mixed, superactive, mesic Calcic Argixerolls","calcic argixerolls","IFET","Fine-silty, mixed, superactive, mesic",17.78,35.56
"509","Mollisols","Aquolls","Endoaquolls","WARMAN","7","24","inches","Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, frigid Typic Endoaquolls","typic endoaquolls","IBGK","Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, frigid",17.78,60.96
"510","Mollisols","Aquolls","Epiaquolls","WARROAD","7","13","inches","Sandy over loamy, mixed, superactive, frigid Typic Epiaquolls","typic epiaquolls","IBFJ","Sandy over loamy, mixed, superactive, frigid",17.78,33.02
"511","Mollisols","Udolls","Hapludolls","WARSING","7","16","inches","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, frigid Oxyaquic Hapludolls","oxyaquic hapludolls","IHFO","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, frigid",17.78,40.64
"512","Mollisols","Ustolls","Argiustolls","WATROUS","7","16","inches","Fine-loamy, mixed, superactive, frigid Typic Argiustolls","typic argiustolls","IGEU","Fine-loamy, mixed, superactive, frigid",17.78,40.64
"513","Mollisols","Xerolls","Durixerolls","WEEKS","7","12","inches","Coarse-loamy, mixed, superactive, mesic Haplic Haploxerollic Durixerolls","haplic haploxerollic durixerolls","IFAM","Coarse-loamy, mixed, superactive, mesic",17.78,30.48
"514","Mollisols","Udolls","Calciudolls","WERGELAND","18","41","cm","Fine-loamy, mixed, superactive, mesic Aquic Calciudolls","aquic calciudolls","IHBD","Fine-loamy, mixed, superactive, mesic",18,41
"515","Mollisols","Ustolls","Argiustolls","WESTILL","7","20","inches","Fine, mixed, active, thermic Vertic Argiustolls","vertic argiustolls","IGEI","Fine, mixed, active, thermic",17.78,50.8
"516","Mollisols","Ustolls","Natrustolls","WETA","7","19","inches","Fine, smectitic, mesic Leptic Natrustolls","leptic natrustolls","IGBG","Fine, smectitic, mesic",17.78,48.26
"517","Mollisols","Ustolls","Argiustolls","WEWELA","7","15","inches","Fine-loamy, mixed, superactive, mesic Typic Argiustolls","typic argiustolls","IGEU","Fine-loamy, mixed, superactive, mesic",17.78,38.1
"518","Mollisols","Aquolls","Calciaquolls","WHEATVILLE","7","15","inches","Coarse-silty over clayey, mixed over smectitic, superactive, frigid Aeric Calciaquolls","aeric calciaquolls","IBDB","Coarse-silty over clayey, mixed over smectitic, superactive, frigid",17.78,38.1
"519","Mollisols","Ustolls","Argiustolls","WHETSOON","18","51","centimeters","Fine-loamy, mixed, superactive, mesic Aquic Argiustolls","aquic argiustolls","IGEM","Fine-loamy, mixed, superactive, mesic",18,51
"520","Mollisols","Aquolls","Duraquolls","WHIPP","7","14","inches","Fine, smectitic, mesic Natric Duraquolls","natric duraquolls","IBBA","Fine, smectitic, mesic",17.78,35.56
"521","Mollisols","Xerolls","Durixerolls","WHITEYE","7","10","inches","Loamy, mixed, superactive, mesic, shallow Vitritorrandic Durixerolls","vitritorrandic durixerolls","IFAB","Loamy, mixed, superactive, mesic, shallow",17.78,25.4
"522","Mollisols","Aquolls","Cryaquolls","WICHUP","7","19","inches","Coarse-loamy, mixed, superactive Histic Cryaquolls","histic cryaquolls","IBAB","Coarse-loamy, mixed, superactive",17.78,48.26
"523","Mollisols","Ustolls","Argiustolls","WIDTSOE","7","10","inches","Loamy-skeletal, mixed, superactive, frigid Calcidic Argiustolls","calcidic argiustolls","IGEQ","Loamy-skeletal, mixed, superactive, frigid",17.78,25.4
