"","peiid","pedon_id","siteiid","site_id","obs_date","utmzone","utmeasting","utmnorthing","x","y","horizdatnm","musym","areasym","mlra"
"44","365302","S2009CKS044",374603,"R09CA630CKS044",2009-07-21,10,717775.87,4245191.01,-120.508613586426,38.3283309936523,"NAD83","8161","CA630","22A"
"45","365303","S2009CKS049",374604,"R09CA630CKS049",2009-08-03,10,716488.15,4236579.28,-120.525825500488,38.2511100769043,"NAD83","8173","CA630","22A"
"46","365304","S2009CKS054",374605,"R09CA630CKS054",2009-08-18,10,718102.4,4248955.91,-120.503608703613,38.3622207641602,"NAD83","8162","CA630","22A"
"47","365305","S2009BJM052",374599,"R09CA630BJM052",2009-05-15,10,746662.78,4185159.57,-120.199165344238,37.7805557250977,"NAD83","8194","CA630","22A"
"48","366597","S2009BJM035",374598,"R09CA630BJM035",2009-04-02,10,743030.91,4189986.12,-120.238609313965,37.8250007629395,"NAD83","8161","CA630","22A"
"49","374988","09BJM030",375239,"S2010CA109004",2009-03-20,10,743761.4,4188406.43,-120.230834960938,37.8105545043945,"NAD83","8160","CA630","22A"
"50","385426","R11CA109001",385256,"09CA630BJM048",2009-04-30,10,745344.97,4184353.08,-120.21443939209,37.773609161377,"NAD83","6078","CA630","22A"
"51","425292","10CKS003",428036,"10CA630CKS003",2010-03-18,10,716017,4204008,-120.54118347168,37.9580078125,"NAD83","7074","CA630","18"
"52","425293","10MJE005",428037,"10CA630MJE005",2010-03-11,10,716471,4210399,-120.534088134766,38.0154495239258,"NAD83","7088","CA630","18"
"53","425294","09BJM095",428038,"09CA630BJM095",2009-08-13,10,719559,4240472,-120.489677429199,38.2854843139648,"NAD83","5053","CA630","22A"
"54","530660","S2011CA009004",540954,"10CA630BJM074",2010-11-10,10,700875.72,4212270.09,-120.71110534668,38.035831451416,"NAD83","7083","CA630","18"
"55","533095","67-CA-05-036x",543589,"S1967-CA-05-036x",2009-01-21,10,722010.36,4244950.08,-120.460266113281,38.3251991271973,"NAD83","3020","CA630","22A"
"56","533096","67-CA-05-033x",543590,"S1967-CA-05-033x",2009-01-21,10,710180.92,4248652.29,-120.594383239746,38.3613891601562,"NAD83","8162","CA630","22A"
"57","533097","67-CA-05-026x",543591,"S1967-CA-05-026x",2009-01-21,10,700551.17,4224564.18,-120.711326599121,38.1466751098633,"NAD83","6071","CA630","18"
"58","533098","67-CA-55-004x",543592,"S1967-CA-55-004x",2009-01-14,10,712577.19,4195124.32,-120.58292388916,37.8788223266602,"NAD83","3046","CA630","18"
"59","533099","66-CA-05-013x",543593,"S1966-CA-05-013x",2008-10-21,10,708822.31,4189327.27,-120.627258300781,37.8274841308594,"NAD83",NA,NA,"18"
"60","533172","66-CA-05-007x",543666,"S1966-CA-05-007x",2009-01-23,10,712929.31,4200358.67,-120.577377319336,37.9258728027344,"NAD83","7076","CA630","18"
"61","533179","66-CA-05-018x",543673,"S1966-CA-05-018x",2009-01-23,10,700179.76,4199485.31,-120.72257232666,37.9209060668945,"NAD83","7085","CA630","18"
"62","533190","66-CA-05-019x",543684,"S1966-CA-05-019x",2009-01-23,10,698954.29,4205535.23,-120.734825134277,37.9756622314453,"NAD83","7085","CA630","18"
"63","533191","66-CA-05-008x",543685,"S1966-CA-05-008x",2009-01-23,10,698596.26,4200661.85,-120.740249633789,37.9318466186523,"NAD83","7076","CA630","18"
"64","533194","66-CA-05-014x",543688,"S1966-CA-05-014x",2008-10-21,10,708822.31,4189327.27,-120.627258300781,37.8274841308594,"NAD83","7085","CA630","18"
"65","533216","80-CA-05-084x",543710,"S1980-CA-05-084x",2009-03-02,10,687208,4226838,-120.75267791748,38.169059753418,"NAD83","5201","CA630","18"
"66","533224","67-CA-05-035x",543718,"S1967-CA-05-035x",2009-01-21,10,718657.55,4248529.24,-120.49747467041,38.3582496643066,"NAD83","8162","CA630","22A"
"67","533232","73-CA-55-012x",543726,"S1973-CA-55-012x",2009-02-27,10,722951.69,4193679.8,-120.465507507324,37.8633346557617,"NAD83","7155","CA630","18"
"68","533236","77-CA-55-036x",543730,"S1977-CA-55-036x",2009-03-02,10,746671.14,4215372.16,-120.188720703125,38.0525016784668,"NAD83","6029","CA630","22A"
"69","533238","SO4-hwy49-716",543732,"SO4-hwy49-716",2008-08-06,10,742258.08,4182533.33,-120.249984741211,37.7580604553223,"NAD83","7156","CA630","18"
"70","533239","77-CA-55-045x",543733,"S1977-CA-55-045x",2009-03-02,10,745863.34,4215326.42,-120.197929382324,38.0523109436035,"NAD83","6036","CA630","22A"
"71","533240","SO4-hwy49-717",543734,"SO4-hwy49-717",2008-08-06,10,725452.24,4196473.01,-120.436241149902,37.8878707885742,"NAD83","8034","CA630","18"
"72","533243","S09CAL-002",543737,"S2009CAL-002",2009-08-13,10,713783.1,4215207.98,-120.563255310059,38.0593872070312,"NAD83","7088","CA630","18"
