"","musym","dmudesc","compname","comppct_r","compkind","drainagecl","slope_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","landform_string","restr_depth","has_textural_B","pscs_clay","surface.rf.high","surface.txclay.high","subclass_prop_crit","subclass_slope_crit","subclass_calc","unit_calc"
"267","8314","CA6308314","Anthraltic Xerorthents",2,"taxon above family","well",30,6,"e",NA,6,"e",NA,"hill",152,FALSE,30.8355263157895,97,35,"6",4,"s","NA"
"266","8314","CA6308314","Vertic Haploxerepts",19,"taxon above family","well",5,3,"e","5",3,"e","5","hill & depression",200,FALSE,34.5714285714286,35,40,"2a",2,"e","7"
"265","8314","CA6308314","Tiger Creek",39,"taxadjunct","well",45,7,"e",NA,7,"e",NA,"hill",152,TRUE,31.4459459459459,15,27,"2a",4,"e","NA"
"198","8317","CA6308317","Millvilla",10,"series","well",15,3,"e","3",3,"e","3","hill",70,TRUE,20.5428571428571,15,20,"2a",3,"e","8"
"199","8317","CA6308317","Mollic Haploxeralfs",10,"family","well",30,4,"e","3",4,"e","3","hill",113,TRUE,32.6363636363636,20,25,"2a",4,"e","8"
"30","8317","CA6308317","Beybek",45,"series","well",30,4,"e","3",4,"e","3","hill",82,FALSE,48.0344821009143,15,40,"2a",4,"e","8"
"201","8318","MLRA 18 - 2mdcj Aquariusmine-Hetchy, deep-Rock outcrop cplx, 30 to 60","Millvilla",10,"series","well",60,8,NA,NA,8,NA,NA,"hill",55,TRUE,22.6909090909091,15,25,"2a",5,"NA","NA"
"32","8318","MLRA 18 - 2mdcj Aquariusmine-Hetchy, deep-Rock outcrop cplx, 30 to 60","Hetchy",25,"series","well",60,7,"e",NA,7,"e",NA,"hill",110,TRUE,19.5092592592593,15,20,"2a",5,"e","NA"
"31","8318","MLRA 18 - 2mdcj Aquariusmine-Hetchy, deep-Rock outcrop cplx, 30 to 60","Aquariusmine",40,"series","well",60,7,"e",NA,7,"e",NA,"hill",115,TRUE,27.378640776699,5,27,"2a",5,"e","NA"
"202","8319","MLRA 18 - 2mdck Mollic Haploxeralfs-Pachic Argixerolls-Rock Outcrop cplx, 50 to 90","Mollic Haploxeralfs",35,"family","well",90,8,NA,NA,8,NA,NA,"canyon",79,TRUE,20.7910447761194,35,25,"2a",5,"NA","NA"
